,EC,p_value,adjusted_p_value,mean_1,std_1,median_1,mean_0,std_0,median_0,delta_mean,delta_median
873,1.12.98.2,0.00028011803744269835,0.017181596394659063,0.045454545454545456,0.0499752004613991,0.0,0.009387755102040816,0.04709556776516978,0.0,0.03606679035250464,0.0
875,1.12.98.4,4.577491609259078e-05,0.006701700035714292,0.8509090909090911,0.5323610283095579,0.88,0.06285714285714286,0.10534685179763784,0.0,0.7880519480519482,0.88
953,1.13.11.78,0.0003535817948240035,0.01974221212321049,149.06636363636363,31.409298354794487,136.29,94.77122448979591,36.90275309859316,83.84,54.29513914656772,52.44999999999999
970,"1.13.11.81,4.1.2.25,5.1.99.7,5.1.99.8",2.703696894994284e-05,0.005186696671350662,0.6772727272727274,0.6648183745011716,0.52,0.17306122448979594,0.5615292678930827,0.0,0.5042115027829315,0.52
988,"1.14.11.1,1.14.11.46",0.001164153421939305,0.04268045145589922,0.08181818181818183,0.12231243018807368,0.0,0.006530612244897959,0.031722715765576,0.0,0.07528756957328388,0.0
993,1.14.11.15,0.00027818014209363877,0.017181596394659063,0.1636363636363636,0.19928384176038172,0.1,0.023061224489795917,0.08739317868193877,0.0,0.1405751391465677,0.1
1042,1.14.11.9,0.0002220850698870011,0.015424406237173782,0.030000000000000002,0.0534279463815095,0.0,0.0,0.0,0.0,0.030000000000000002,0.0
1063,"1.14.12.11,1.14.12.19,1.14.12.3",0.00029424257220423376,0.017461920705846935,3.8572727272727265,1.693136363026219,3.87,1.589591836734694,1.2828061701353959,0.95,2.2676808905380326,2.92
1099,1.14.13.111,0.00019501199820221891,0.015424406237173782,22.47090909090909,10.646953003768862,26.27,6.969387755102041,4.89608023483812,6.380000000000001,15.501521335807048,19.89
1105,"1.14.13.113,1.14.13.24",0.00010079851106951431,0.01108649223749898,0.9781818181818182,0.6753829645174141,1.31,0.17510204081632652,0.32207314702820444,0.0,0.8030797773654916,1.31
1118,1.14.13.128,0.0010277644621627597,0.03989832239772748,1.0999999999999999,0.7127156770856358,1.0,0.41673469387755097,0.6817725629356501,0.12,0.683265306122449,0.88
1137,1.14.13.168,0.0003535817948240035,0.01974221212321049,25.16636363636364,9.28123157259489,25.02,12.778163265306123,7.998165012375099,11.21,12.388200371057518,13.809999999999999
1144,1.14.13.182,0.0003665672757948314,0.020294050053903116,11.631818181818181,8.741524537497417,8.35,3.4530612244897965,3.722770640416828,1.98,8.178756957328385,6.369999999999999
1188,1.14.13.231,6.677664614690546e-05,0.008169963954099413,0.4945454545454545,0.33150794961985,0.49,0.08755102040816326,0.1336692630589167,0.0,0.40699443413729125,0.49
1207,"1.14.13.25,1.6.5.8",0.00012931167432790494,0.013169037055936885,0.1690909090909091,0.19514351574043445,0.1,0.014693877551020407,0.047856163777461415,0.0,0.15439703153988868,0.1
1233,"1.14.13.81,5.3.1.8,5.4.2.8",0.0014047598179195995,0.046725257008140224,3.0127272727272727,6.209769562272736,0.9,0.6706122448979591,1.3722012825566305,0.21,2.3421150278293137,0.6900000000000001
1300,1.14.15.11,0.0010226669676699377,0.03989832239772748,0.14727272727272728,0.23339747249121887,0.0,0.005306122448979592,0.026426798459165134,0.0,0.14196660482374768,0.0
1392,1.14.20.3,0.00019557781434170784,0.015424406237173782,0.14636363636363636,0.12822371977933564,0.15,0.021632653061224492,0.05880951397331551,0.0,0.12473098330241186,0.15
1416,1.14.99.56,0.00038164640783552444,0.020988008121568272,0.3009090909090909,0.2746387559704415,0.19,0.1524489795918367,0.46146408802828315,0.0,0.1484601113172542,0.19
