compound,EC,ro,p_value,adjusted_p_value
Mesotrione,"2.4.1.15,2.4.1.213,2.4.1.347",0.7913417794819007,5.267120818844821e-14,4.601583452086438e-12
Mesotrione,3.1.1.102,0.6498381961969542,1.93078194803975e-08,1.6607019259659203e-07
Mesotrione,1.1.99.28,0.853290411771069,4.8111734441779576e-18,2.6465096893772856e-15
Mesotrione,1.1.1.371,0.7383488406608728,1.667906803282838e-11,4.0618099635408197e-10
Mesotrione,"2.2.1.6,2.3.3.15",0.36844569740659927,0.0037724709200376125,0.010399031052851945
Mesotrione,3.6.1.3,0.5900618736603653,6.992581633178255e-07,4.211012984285063e-06
Mesotrione,1.14.13.218,0.6515908934283321,1.7171986938423897e-08,1.506349355168183e-07
Mesotrione,3.5.1.44,0.7079941967161044,2.511007934958815e-10,4.575103866389394e-09
Mesotrione,1.14.13.238,0.7540238592889059,3.5363906345892976e-12,1.067281286820903e-10
Mesotrione,4.4.1.32,0.8412817456744478,3.95492738723076e-17,1.519983944506939e-14
Mesotrione,4.1.1.17,0.7542861494517806,3.442418943965408e-12,1.0427825607267528e-10
Mesotrione,3.5.2.18,0.6534343404342052,1.516754251020929e-08,1.3406455131538262e-07
Mesotrione,3.5.3.18,0.6759623671126777,3.098395314691642e-09,4.558394075127264e-08
Mesotrione,1.4.7.1,0.7504867559997973,5.0685462536367506e-12,1.4528423183611363e-10
Mesotrione,"1.14.12.1,1.14.12.15,1.14.13.172",0.8483473785462178,1.1705125003253176e-17,5.4913508296178815e-15
Mesotrione,2.1.1.223,0.7501683235713972,5.2339459366462684e-12,1.4937537098417128e-10
Mesotrione,6.3.5.4,0.6397988450584468,3.725175166763004e-08,2.8570302261092895e-07
Mesotrione,3.1.1.24,0.6942491687573716,7.680198492870739e-10,1.2860357943613927e-08
Mesotrione,3.1.1.53,0.6885819387010467,1.1962241715245127e-09,1.912177091707101e-08
Mesotrione,2.8.1.13,0.7363512111141236,2.016460352519247e-11,4.79027987458165e-10
Mesotrione,6.1.1.15,0.6620105013830122,8.418192679897178e-09,1.1459335421039604e-07
Mesotrione,3.2.1.21,0.6630872937540535,7.807829465937706e-09,1.0694638739389769e-07
Mesotrione,2.3.1.57,0.6982515970364039,5.582065451376311e-10,9.580756777331218e-09
Mesotrione,1.8.2.2,0.7061155705917479,2.936553722252424e-10,5.2878394782390875e-09
Mesotrione,5.5.1.24,0.8264477122641367,4.24551055490047e-16,1.079572591957064e-13
Mesotrione,2.7.4.8,0.6803330136934385,2.2402339252808136e-09,3.391090432924643e-08
Mesotrione,2.7.4.6,0.6567432288883895,1.2112377813196705e-08,1.0849635243773206e-07
Mesotrione,2.6.1.9,0.7082666974907214,2.454379686280251e-10,4.480831390915904e-09
Mesotrione,2.3.1.15,0.6547522751836156,1.3872367781668107e-08,1.232105706170867e-07
Mesotrione,1.5.1.20,0.7227765267633922,7.0092103575102e-11,1.4294994923593613e-09
Mesotrione,3.5.2.3,0.6666469271039,6.074608514525598e-09,8.489982135714437e-08
Mesotrione,3.1.3.3,0.6790057112235891,2.4735401892368944e-09,3.7151140121999126e-08
Mesotrione,1.3.99.16,0.7247976464333901,5.849753057978099e-11,1.1994256044056912e-09
Mesotrione,"2.7.1.60,5.1.3.9",0.37778273659614064,0.0029216329686757364,0.008298219076494718
Mesotrione,"1.3.1.14,1.3.98.1",0.2973578690200853,0.02103631748587884,0.04594375672462344
Mesotrione,2.1.1.334,0.6299282756632423,6.947689200825124e-08,5.127989170895992e-07
Mesotrione,"2.5.1.101,2.5.1.56,2.5.1.97",0.7998034100318846,1.7995037271862063e-14,2.024747668532853e-12
Mesotrione,2.1.1.288,0.4653726524981977,0.0001792138180028946,0.0006770002357923066
Mesotrione,"1.1.1.178,1.1.1.35",0.6928057985170317,8.605973235552821e-10,1.425809625465141e-08
Mesotrione,"4.1.1.41,4.2.1.17",0.3802085394989172,0.0027306014561261378,0.007822944467641039
Mesotrione,"2.1.1.172,3.4.21.89",0.471641808100669,0.00014238639385628452,0.0005495277375398692
Mesotrione,1.1.1.108,0.718517806575735,1.0207430274271602e-10,2.051996583789089e-09
Mesotrione,3.1.3.70,0.3983109981859231,0.0016219060712119682,0.004928163825978149
Mesotrione,"1.13.11.52,1.8.1.2",0.2941041951945358,0.022554419089581976,0.048899892781887416
Mesotrione,2.7.11.17,0.49335471936008063,6.19629146737143e-05,0.0002579003324962089
Mesotrione,"2.2.1.2,5.3.1.9",0.4605811883133302,0.0002130287782493451,0.0007926351451668426
Mesotrione,"5.4.99.13,5.4.99.2",0.40440429464242755,0.0013520609922656856,0.004186961907141186
Mesotrione,1.16.8.1,0.7695210627364008,6.782685614994048e-13,3.057203662419943e-11
Mesotrione,"4.2.1.42,4.2.1.7",0.7112921380634052,1.901935324129323e-10,3.5471678199805258e-09
Mesotrione,"2.4.2.1,2.4.2.28",0.3960293113153336,0.0017347630942917288,0.005233031750255022
Mesotrione,3.4.19.3,0.6931275591263057,8.390856244070163e-10,1.3953179358455397e-08
Mesotrione,1.1.3.48,0.7188087038866636,9.950854911662968e-11,2.0026129640981137e-09
Mesotrione,3.5.1.2,0.7104032675611247,2.050587844051188e-10,3.8012105949117545e-09
Mesotrione,1.12.1.2,0.5155800807508176,2.489653569873538e-05,0.00011193571580746352
Mesotrione,2.7.7.1,0.43851580128825046,0.00045733592793631086,0.0015812787135590337
Mesotrione,"2.4.1.315,2.4.1.46",0.4685851397306205,0.00015937466199151737,0.0006084910158775545
Mesotrione,4.1.99.5,0.7374672235160361,1.81399871321555e-11,4.367073635020273e-10
Mesotrione,"2.8.3.5,2.8.3.8,2.8.3.9",0.6009930248801214,3.830135667606512e-07,2.425271268954927e-06
Mesotrione,2.6.1.33,0.6582373998875627,1.0932572525763244e-08,1.458297141634501e-07
Mesotrione,"1.14.13.224,1.14.13.9",0.4862496092102118,8.185653939810059e-05,0.0003322507525484408
Mesotrione,3.2.2.28,0.6419203847417251,3.248617338477497e-08,2.6056084102184935e-07
Mesotrione,2.4.1.33,0.7134673849878682,1.58014769930053e-10,2.990368191923603e-09
Mesotrione,4.99.1.3,0.7117056175262401,1.8363312631105778e-10,3.435150984768161e-09
Mesotrione,6.5.1.3,0.6929767251091303,8.491054922377712e-10,1.4106473432543047e-08
Mesotrione,3.6.1.1,0.6442333035535948,2.7948867664512982e-08,2.2934790980568372e-07
Mesotrione,2.7.1.194,0.7461353497890342,7.828356577174888e-12,2.11343535289087e-10
Mesotrione,1.13.11.27,0.6555488299902782,1.3141027443051838e-08,1.1711210843745664e-07
Mesotrione,4.1.2.48,0.7247624664977942,5.868273819412864e-11,1.2029428272827636e-09
Mesotrione,6.1.1.10,0.7553557692051478,3.0832871074656163e-12,9.46305499224909e-11
Mesotrione,4.2.99.20,0.6579922600597972,1.1118377207118362e-08,1.4810897439061073e-07
